+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | [Landorus-Therian]      |  110 |  50.46% |  49.09% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 35   | Decidueye               |    1 |   1.82% |   0.00% |
| 35   | Moltres                 |    1 |   1.82% |   0.00% |
| 35   | Pidgeot                 |    1 |   1.82% |   0.00% |

+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Pokemon                 | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 4    | [Tapu Lele]             |   52 |  23.85% |  53.85% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Moves                   | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Moonblast               |   31 |  59.62% |  51.61% |
| 2    | Psyshock                |   19 |  36.54% |  52.63% |
| 3    | Calm Mind               |    8 |  15.38% |  37.50% |
| 3    | Focus Blast             |    8 |  15.38% |  25.00% |
| 5    | Psychic                 |    7 |  13.46% |  42.86% |
| 6    | All-Out Pummeling       |    5 |   9.62% |  60.00% |
| 7    | Hidden Power            |    4 |   7.69% |  50.00% |
| 8    | Future Sight            |    3 |   5.77% |  66.67% |
| 9    | Thunderbolt             |    2 |   3.85% | 100.00% |
| 10   | Shattered Psyche        |    1 |   1.92% | 100.00% |
| 10   | Nature's Madness        |    1 |   1.92% | 100.00% |
| 10   | Taunt                   |    1 |   1.92% | 100.00% |
+ ---- + ----------------------- + ---- + ------- + ------- +
| Rank | Teammates               | Use  | Usage % |  Win %  |
+ ---- + ----------------------- + ---- + ------- + ------- +
| 1    | Landorus-Therian        |   36 |  69.23% |  52.78% |
| 2    | Kartana                 |   24 |  46.15% |  62.50% |
| 3    | Ferrothorn              |   17 |  32.69% |  52.94% |
| 4    | Lopunny                 |   15 |  28.85% |  46.67% |
| 5    | Rotom-Wash              |   13 |  25.00% |  61.54% |
| 6    | Greninja-*              |   12 |  23.08% |  66.67% |
| 7    | Volcarona               |   11 |  21.15% |  54.55% |
| 8    | Zapdos                  |   10 |  19.23% |  70.00% |
| 8    | Diancie                 |   10 |  19.23% |  60.00% |
| 8    | Excadrill               |   10 |  19.23% |  60.00% |
| 11   | Heatran                 |    9 |  17.31% |  33.33% |
| 12   | Tyranitar               |    8 |  15.38% |  62.50% |
| 13   | Tapu Fini               |    6 |  11.54% |  33.33% |
| 14   | Urshifu                 |    5 |   9.62% |  60.00% |
| 14   | Melmetal                |    5 |   9.62% |  40.00% |
| 16   | Mawile                  |    4 |   7.69% | 100.00% |
| 16   | Garchomp                |    4 |   7.69% |  75.00% |
| 16   | Victini                 |    4 |   7.69% |  50.00% |
| 16   | Medicham                |    4 |   7.69% |  50.00% |
| 16   | Weavile                 |    4 |   7.69% |  25.00% |
| 16   | Manectric               |    4 |   7.69% |  25.00% |
| 22   | Hatterene               |    3 |   5.77% |  66.67% |
| 22   | Kyurem                  |    3 |   5.77% |  66.67% |
| 22   | Toxapex                 |    3 |   5.77% |  33.33% |
| 22   | Charizard               |    3 |   5.77% |   0.00% |
| 22   | Kommo-o                 |    3 |   5.77% |   0.00% |
| 27   | Araquanid               |    2 |   3.85% | 100.00% |
| 27   | Xurkitree               |    2 |   3.85% | 100.00% |
| 27   | Thundurus-Therian       |    2 |   3.85% |  50.00% |
| 27   | Latias                  |    2 |   3.85% |  50.00% |
| 27   | Gyarados                |    2 |   3.85% |   0.00% |
| 27   | Serperior               |    2 |   3.85% |   0.00% |
| 33   | Scizor                  |    1 |   1.92% | 100.00% |
| 33   | Aegislash               |    1 |   1.92% | 100.00% |
| 33   | Magnezone               |    1 |   1.92% | 100.00% |
| 33   | Slowbro                 |    1 |   1.92% | 100.00% |
| 33   | Cloyster                |    1 |   1.92% | 100.00% |
| 33   | Barbaracle              |    1 |   1.92% | 100.00% |
| 33   | Vivillon                |    1 |   1.92% | 100.00% |
| 33   | Glalie                  |    1 |   1.92% | 100.00% |
| 33   | Hippowdon               |    1 |   1.92% | 100.00% |
| 33   | Skarmory                |    1 |   1.92% | 100.00% |
| 33   | Dragonite               |    1 |   1.92% |   0.00% |
| 33   | Ribombee                |    1 |   1.92% |   0.00% |
| 33   | Rampardos               |    1 |   1.92% |   0.00% |
| 33   | Bisharp                 |    1 |   1.92% |   0.00% |
